;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;103,75 €;;
Name;Price;Qt;;;Link;;Total;;
Esp32;8,83 €;1;;;Mouser;;€ 8,83;;
Water Pump;8,05 €;1;;;Mouser;;€ 8,05;;
MOSFET;1,08;1;;;Mouser;;€ 1,08;;
Solder;9,88 €;1;;;Mouser;;€ 9,88;; 
Terminal Blocks;0,31 €;2;;;Mouser;;€ 0,62;;
Diode;0,10 €;1;;;Mouser;;€ 0,10;;
Potentiometer;1,63 €;1;;;Mouser;;€ 1,63;;
Mouser Shipping + TVA;10,82 €;1;;;;;€ 10,82;;
Flux;€ 12,87;1;;;Mouser;;€ 12,87;;
PCB ;€ 27,04;1;;;Screenshot;;€ 27,04;;
Power supply + Shipping;€ 8,20;1;;;Aliexpress;;€ 8,20;;
ESP32 Battery;€ 10,19;1;;;Amazon;;€ 10,19;;
M3 screws;€ 0,40;4;;;Mouser;;€ 1,62;;
Heat Inserts;0,705;4;;;Mouser;;€ 2,82;;
